Dimensions Multiple\Concurrent Worker,1,2,4,8,16
1,449.375948,1961.624017,433.981884,481.085852,546.418829
10,633.009942,636.101002,1786.71279,1107.464079,640.949933
100,18308.8379,18682.56205,18919.09307,24681.34696,31433.79185
1000,4772642.93,4819631.113,4907161.467,6425321.387,5839345.394
