Dimensions Multiple\Number of Heads,1,2,4,8,16
1,1,71,1001,36266769,81984541
10,3,26804,772,36029719,109807729
100,3,30215,88254,36133098,77188225
1000,4,5431732,50049468,36132920,76357082
